位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
上海·徐汇区·漕河泾,字节跳动,互联网,本科,经验不限,30-35K·15薪,Java|Golang|Spring|MySQL|不接受居家办公|团队管理经验|分布式经验|微服务经验,后端工程师
深圳·南山区·科技园,波普实验室,社交网络,本科,3-5年,19-35K,后端开发|Java|Python,后端工程师
南京·江宁区·大学城,智慧用能低碳研究院,电力/热力/燃气/水利,本科,1-3年,11-15K,后端工程师|Java开发经验|电力行业优先,后端工程师
北京·海淀区·中关村,高质系统,计算机软件,本科,3-5年,12-24K,全栈工程师|Java|Spring|MyBatis|计算机/软件工程相关经验|Java开发经验|分布式系统开发经验|不接受居家办公|Java|Spring|SpringCloud|MyBatis|MySQL|Redis|MongoDB|微服务经验|分布式经验|SpringCloud|Redis|SpringBoot|MySQL|微服务架构|后端开发|高级软件工程师,后端工程师
长沙·雨花区·德思勤城市广场,纳见数据,大数据,大专,1-3年,6-7K,Java|Python,后端程序员
深圳·福田区·华强南,深圳市智兔丰科技,计算机软件,本科,1-3年,10-15K·13薪,后端工程师,后端工程师
长沙·岳麓区·岳麓大学城,长沙视盟,移动互联网,大专,5-10年,8-12K·13薪,SQL|Shell|服务器配置|搜索引擎技术|消息队列|Spring|SpringMVC|Dubbo,后端Java开发
北京·大兴区·亦庄,智配网络,移动互联网,本科,1-3年,5-10K,MySQL|后端开发|MVC开发|SSM|Linux|IDEA,Java后端研发
沧州·运河区·阿尔卡迪亚,典千网络,计算机软件,本科,1-3年,8-13K,PHP|Python|架构师|后端开发|CSS|全栈开发,后端工程师
上海·长宁区·仙霞,伯锐智信息,移动互联网,本科,5-10年,40-55K·15薪,架构师|后端工程师|Java|Python|C/C++,后端技术专家
苏州·苏州工业园区·工业园区,低碳中心,互联网,本科,3-5年,15-18K·14薪,Java开发经验|Java|MySQL|后端工程师|Spring|计算机/软件工程相关经验,java后端开发
上海·杨浦区·江浦路,XTransfer,互联网金融,本科,经验不限,60-80K·13薪,后端工程师|架构师|Java|Java开发经验|中大型项目架构设计经验|第三方支付|账务|结算,资金平台后端Leader
深圳·南山区·科技园,兔展,互联网,硕士,3-5年,15-26K,Java|Spring|SpringCloud|MySQL|大数据经验,高级后端开发
南京·玄武区·后宰门,皓海,互联网金融,本科,3-5年,6-11K,Java,高级后端开发
深圳·福田区·华强北,星巴克,生活服务（O2O）,本科,3-5年,20-40K·13薪,后端工程师|Java,后端Java工程师
杭州·西湖区·西溪,弘谷科技,计算机软件,大专,3-5年,9-14K,Java|后端开发|数据库,java后端开发
深圳·宝安区·西乡,金慧芯,通信/网络设备,本科,5-10年,15-25K,Java|网络协议|Spring|Redis|后端开发|架构师|MySQL,后端Java工程师
