位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
天津·南开区·时代奥城,浩泽云科技,计算机软件,本科,1年以内,15-20K,数据开发|机器学习/算法工程|运维开发|Python|Java|C/C++|计算机相关专业|数学/统计相关专业|机器学习工程经验,python程序员
北京·朝阳区·鸟巢,京东集团,电子商务,本科,5-10年,18-35K·14薪,Python|全栈开发|Node.js,Python工程师
深圳·南山区·南山中心,瀚一数据科技（深...,互联网,本科,3-5年,12-22K·13薪,Java|分布式技术|容器技术|NoSQL|MongoDB|Flask|Tornado|GIT,Python工程师
武汉·蔡甸区·沌口,数增科技,咨询,本科,1-3年,4-8K,微服务经验|Django|PostgreSQL|Pandas|MySQL|Redis|Python|Flask,武汉-python开发
上海·长宁区·北新泾,鹰爪网络,移动互联网,本科,3-5年,12-20K,Python,Python工程师
合肥·庐阳区·双岗,安徽星达时空卫星...,大数据,本科,3-5年,8-12K,Python|TensorFlow|MySQL,python程序员
张家口·怀来县·怀来县中心城区,悦彼,日化,大专,3-5年,8-9K,网络爬虫技术,Python开发工程师
长沙·雨花区·雨花亭,长沙万英,计算机软件,大专,经验不限,7-12K,Java|C++|Go|PHP|Python|网络爬虫技术|微服务架构,Python开发工程师
青岛·城阳区·棘洪滩,青岛清数科技有限公司,大数据,本科,经验不限,6-10K,Python|Django|TensorFlow|计算机相关专业|爬虫经验|机器学习工程经验,Python数据工程师
广州·黄埔区·科学城,多益网络,互联网,本科,1-3年,17-30K·14薪,Python|C++|Golang|Kafka|MySQL|Redis|游戏编辑器开发,Python开发工程师
新余,万邦科技,计算机软件,大专,1-3年,5-10K,网络爬虫技术|分布式技术|数据结构|sign|xsign|逆向、js逆向 ||反爬js逆向、安卓|android逆向,Python开发工程师
上海·静安区·大宁,壹沓科技,企业服务,3个月,4天/周,200-300元/天,Python|Django|Numpy|Pandas|MySQL|云计算经验|AI相关,python开发实习生
杭州·滨江区·长河,居正资产,证券/期货,本科,1-3年,18-23K,后端|Python|Flask|计算机相关专业|服务端开发经验,python高级工程师
上海·徐汇区·漕河泾,铂端科技,通信/网络设备,大专,1-3年,18-30K,容器技术|MySQL|Flask,Python开发工程师
北京·朝阳区·朝外,海舶无人船,铁路/船舶/航空/航天制造,本科,3-5年,12-24K,Django,Python开发工程师
福州,臻星科技,互联网,本科,1-3年,7-12K·13薪,Python|服务器配置|Linux|小程序|MySQL|Oracle|Django,Python开发工程师
上海·徐汇区·漕河泾,魔珐科技Xmov,人工智能,本科,3-5年,18-30K·14薪,Python|Django|Flask|MySQL|Redis|PostgreSQL|数据库设计,python开发工程师
北京·朝阳区·祁家豁子,坤泰云通,通信/网络设备,硕士,3-5年,8-13K,软件开发,Python软件工程师
西安·雁塔区·高新软件园,绿盟科技,信息安全,3个月,4天/周,130-180元/天,网络编程|Linux|软件工程师,python开发实习生
北京·朝阳区·望京,瑞答科技,计算机软件,本科,5-10年,17-23K,后端|计算机相关专业|Python,python开发工程师
深圳·坪山区·坪山,比亚迪汽车工业,汽车研发/制造,本科,3-5年,18-35K,Python|PyTorch|TensorFlow|Hadoop,Python开发工程师
西安·长安区·韦曲,WisdomGarden,计算机软件,本科,1-3年,11-17K·13薪,后端|Python|计算机相关专业|全栈开发经验,python开发工程师
佛山·南海区·保利水城,二进制科技,移动互联网,大专,3-5年,12-20K,Python|PyTorch|TensorFlow|MySQL|NLP自然语言|大模型|AIGC,python高级工程师
西安·未央区·文景路,北纬四十度,企业服务,大专,经验不限,8-13K,Python|Flask|Tornado|MySQL|MongoDB|Redis|Linux开发/部署经验,python开发工程师
济南,灵加教育,在线教育,大专,3-5年,7-10K,Python|Django|Numpy|HBase|MongoDB|Oracle|Linux开发/部署经验|架构设计经验,Python讲师
日照·莒县·莒县中心城区,莒县蕾风能力风暴...,培训/辅导机构,大专,1-3年,3-5K,Python|计算机相关专业,python老师
临沂·郯城县·郯城县中心城区,慧文教育科技,培训/辅导机构,大专,经验不限,4-5K,网络编程,Python老师
徐州·云龙区·绿地世纪城,科睿特,培训/辅导机构,本科,1-3年,7-8K,Python|Java|C++|Python工程师|Python算法工程师|机器人|汇编语言,Python老师
天津,提酒映画,计算机软件,学历不限,经验不限,5-7K,Python|Flask|Django|Nginx|Redis|MySQL,python开发
