位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
北京·东城区·朝阳门,中国电信安全公司,信息安全,本科,1-3年,15-30K,安全运维经验,安全运营工程师
武汉,武汉安天,互联网,本科,1-3年,9-13K·13薪,Python|Java|计算机/信息安全相关专业|逆向,移动安全分析工程师
湛江·赤坎区·凯德广场,软通动力,计算机软件,大专,经验不限,8-13K,网络安全相关经验,安全运维（政务项目+稳定）
南京·玄武区·锁金村,安科院,政府/公共事业,本科,1-3年,6-7K,职业健康安全管理体系标准|注册安全工程师证,安科院招聘生产安全员
延边朝鲜族自治州,福玉集团,食品/饮料/烟酒,学历不限,经验不限,3-4K,工厂安全员,福玉集团招聘生产安全员
北京·海淀区·双榆树,恒安嘉新,互联网,本科,3-5年,20-35K,安全运维|网络安全,高级安全服务工程师
兰州·城关区·五泉,瑞保,其他专业服务,大专,经验不限,4-5K,驾驶证,安全评价项目助理
廊坊·三河市·新世界百货燕郊,北京镕瑞科技有限公司,互联网,大专,经验不限,8-13K,计算机/信息安全相关专业,短期驻场安全服务工程师
济宁,兰蝶科技,环保,本科,经验不限,6-10K,五险,综合能源项目安全管理
杭州·滨江区·长河,华为,计算机软件,博士,在校/应届,30-60K·13薪,安全体系架构和研发,PaaS平台安全技术研究员（博士)
广州·黄埔区·科学城,卫士通(广州),计算机服务,大专,1-3年,7-12K,网络安全|安全保密|服务器安装,安全工程师（长期全国性出差）
长沙·岳麓区·麓谷,长沙科梁,计算机软件,本科,5-10年,12-18K·15薪,C++|密码|网络安全|软件安全,c++开发工程师（软件安全方向）
成都·武侯区·火车南站,中国网安,信息安全,硕士,3-5年,15-20K,安全协议,安全协议应用设计研究员 (MJ000549)
兰州·城关区·东岗东路,甘肃赛飞安全科技,信息安全,本科,1-3年,8-13K,安全体系架构和研发|安全运维和保障|计算机/信息安全相关专业|安全架构搭建经验|CISSP/CISP,商用密码应用安全性评估师
上海·浦东新区·康桥,SGS,检测/认证/知识产权,本科,3-5年,15-30K·14薪,汽车电子|车辆工程|半导体研发|英语六级,汽车及车规级半导体功能安全工程师
锡林郭勒盟·锡林浩特市·锡林广场,海量,互联网,大专,经验不限,3-5K,信息安全认证|信息安全|安全设备,网络安全工程师
福州·鼓楼区·湖前,奇安信集团,信息安全,大专,经验不限,7-9K·13薪,安全设备|信息安全,网络安全工程师
青岛·崂山区·东韩,海尔集团,互联网,本科,3-5年,10-15K,数据安全,数据安全工程师
长沙·望城区·月亮岛,澳优,其他行业,本科,3-5年,10-15K·14薪,计算机/信息安全相关专业|数据安全管理经验,数据安全工程师
自贡·自流井区·华商国际城,叁吉网络,互联网,本科,3-5年,1000-2000元/月,安全运维和保障|Java|MySQL|Nginx|安全运维经验|数据安全管理经验|熟悉ISO27001标准,网络安全
上海·徐汇区·龙华,艾斯意,培训/辅导机构,硕士,经验不限,12-24K,Python|C/C++,网络安全讲师
昆明·西山区·前卫西路,天地和兴科技有限公司,信息安全,本科,1年以内,3-4K,安全运维和保障|计算机/信息安全相关专业|Python,网络安全工程师
天津·津南区·双港,国瀚科技,信息安全,大专,1-3年,5-8K,销售支持/交付管理|管理相关专业|团队管理经验|PMP|系统集成项目管理工程师|信息系统项目管理师|信息化集成项目经理,网络安全项目经理
成都·青羊区·东坡,云图信安,信息安全,大专,经验不限,6-11K,计算机/信息安全相关专业|漏洞|逆向,网络安全研究员
南京·鼓楼区·华侨路,新华三技术有限公司,计算机软件,本科,1-3年,10-15K,运维服务|运维经理|安全运维和保障|CISSP/CISP|安全设备|计算机/信息安全相关专业|攻防对抗经验|网络安全服务|安全运维|安全运维经验,网络安全运维经理
广州·南沙区·东涌,中机,进出口贸易,本科,3-5年,20-30K,安全运维和保障|攻防对抗经验|云计算安全运维经验|渗透测试经验,高级网络安全工程师
宜春·袁州区·明月北路,百宸信息安全,信息安全,大专,3-5年,6-7K·13薪,安全体系架构和研发|安全运维和保障|计算机/信息安全相关专业|渗透测试经验|攻防对抗经验|CISSP/CISP|CISA|ITIL|实施交付工程师，项目经理|安全设备调试，渗透测试，攻防，网络割接,网络安全技术工程师
北京·朝阳区·劲松,白山云科技,互联网,大专,3-5年,20-25K,政府/社会团体|对企业/机构（To B）销售经验|互联网/科技|政企销售|安全销售,政企销售经理-网络安全
海口·龙华区·滨海大道,神州信安,信息安全,大专,经验不限,3-8K,安全运维和保障|计算机/信息安全相关专业|安全产品/平台开发经验|安全运维经验,网络安全运维工程师
北京·海淀区·苏州桥,新东方,在线教育,本科,3-5年,15-25K,安全体系架构和研发|安全运维和保障,网络安全工程师(J45792)
北京·朝阳区·酒仙桥,奇虎360,互联网,学历不限,1-3年,20-40K·15薪,逆向分析|渗透测试|代码审计,网络安全研究员/黑灰产分析师
上海·杨浦区·东外滩,得物App,电子商务,本科,3-5年,50-70K·16薪,Golang|Java|C/C++|CISSP/CISP|安全体系架构和研发|安全设备|信息安全|安全架构搭建经验|安全产品/平台开发经验,安全开发工程师
北京·西城区·长椿街,正道量子,信息安全,本科,1-3年,20-35K,C++|C|SDK|网络安全|信息安全,C++安全开发工程师（全职/base北京金融街）
襄阳·樊城区·人民广场,金慧科技,大数据,中专/中技,经验不限,7-12K,多劳多得|入职快|不限经验 不限年龄,干到退休/ 无考核7890 / 信息 登记
