位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
杭州·西湖区·西湖,蚂蚁集团,互联网,本科,3-5年,26-50K·16薪,Java|MySQL|搜索/推荐/广告经验|RAG|大模型|Spring,Java
杭州·萧山区·奥体中心,大隐网络,互联网,本科,3-5年,18-24K,Java|后端开发|数据库,Java
丽水·莲都区·白云,浙江美视,计算机软件,大专,1-3年,7-10K·13薪,SpringBoot|MySQL|后端开发|软件工程师|GIT|SpringMVC|Spring,Java
杭州·余杭区·五常,阿里巴巴集团,互联网,本科,3-5年,18-35K,Spring|分布式技术|Web端|Java|Dubbo|容器技术|MySQL|Redis,Java
杭州·余杭区·仓前,快手,社交网络与媒体,本科,3-5年,30-50K·16薪,后端工程师|架构师|Java|Java开发经验|计算机/软件工程相关经验|不接受居家办公,Java
深圳·龙岗区·坂田,华为终端有限公司,通信/网络设备,本科,经验不限,11-22K,后端工程师|Java|JavaScript|Java开发经验,Java
秦皇岛·海港区·秦皇东大街,汇卓科技,计算机软件,本科,1-3年,5-8K,Java|MySQL|接受无前端经验/技能|Javascript|MyBatis|Redis|html/css|其他|Spring|Oracle,Java
泰安·泰山区·泰山大街,山东友和安泰信息...,计算机软件,本科,1-3年,5-10K,软件工程师,Java
莆田,不凡网络科技有限公司,互联网,本科,1年以内,6-9K,Java|Linux|系统架构,Java
杭州·萧山区·钱江世纪城,邦睿科技,计算机软件,本科,3-5年,13-20K,后端工程师|Java,java
南京·雨花台区·铁心桥,SHEIN,电子商务,本科,在校/应届,15-30K,Java|Spring|计算机/软件工程相关经验|Java开发经验,java
南宁·青秀区·青秀万达,光迅,计算机软件,大专,3-5年,7-10K,CSS|Shell|C#|Java,Java
西安·未央区·西安北站,钛初,计算机软件,本科,5-10年,15-25K,Java开发经验|Java|分布式系统开发经验|后端工程师|计算机/软件工程相关经验,java
南京·建邺区·奥体,杭州端点,互联网,本科,经验不限,15-30K·16薪,数据库|后端开发|Java,Java
北京·海淀区·西二旗,北京南天软件有限公司,计算机软件,本科,5-10年,10-15K·13薪,接受无前端经验/技能|Java|不接受居家办公|Spring|MySQL|Oracle|ITSM|信创,Java
潍坊·奎文区·高新区,山东亿盖普,互联网,大专,1-3年,5-10K,Java开发经验|Java|IDEA|SpringCloud|MySQL|MVC开发|SpringBoot|后端工程师|后端开发|SQL,Java
上海·金山区·朱行,贺浓网络,智能硬件,本科,3-5年,10-15K,SQL|微服务架构|MVC开发|架构师|高级软件工程师|全栈开发,Java
杭州·滨江区·长河,数钮科技,互联网,本科,3-5年,15-19K,Java|大数据处理经验|中大型项目架构设计经验|PostgreSQL|分布式技术|Redis|SpringBoot|Spring|后端工程师|Java开发经验|GIT|微服务架构|消息队列|后端开发|高级软件工程师,Java
长沙·芙蓉区·马王堆,湖南月阳乡音信息...,计算机软件,本科,1-3年,7-12K,SpringMVC|MySQL|服务器端开发|Linux|Unix|软件工程师|计算机软件|Java,Java
杭州·西湖区·高新文教区,美国道富,互联网金融,本科,3-5年,20-30K,微服务架构|多线程|分布式技术|高级软件工程师|Linux|后端开发|SpringCloud|NoSQL,Java
烟台·芝罘区·芝罘区万达广场,韵软,计算机软件,本科,经验不限,4-5K,SSM|数据结构|Spring|SpringBoot|后端开发|Linux|软件工程师,Java
