位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
无锡·锡山区·东北塘,朗鑫智能,智能硬件,大专,3-5年,5-10K·13薪,电路设计|硬件工程师|通信相关专业|C|C语言|Altium Designer|嵌入式/单片机开发经验|单片机开发|软件工程师|计算机相关专业|嵌入式技术|MCU,嵌入式
深圳·福田区·车公庙,泰普康,电子/半导体/集成电路,本科,5-10年,8-13K,Java|驱动开发|嵌入式技术|C++,嵌入式
宁波·鄞州区·首南,华创锐科,智能硬件,大专,经验不限,4-8K,PCB工艺|电路设计|Altium Designer|示波器|万用表,嵌入式
深圳·南山区·桂庙路口,速普仪器,仪器仪表/工业自动化,本科,3-5年,12-20K·15薪,嵌入式技术|单片机开发|FPGA开发|嵌入式硬件开发|嵌入式软件开发|C#|Verilog|C++,嵌入式
深圳·南山区·西丽,深圳市瀚德智能机器人,智能硬件,本科,5-10年,15-25K,嵌入式技术|网络协议|嵌入式软件开发|驱动开发|C语言|Linux|FreeRTOS|单片机开发,嵌入式
北京·丰台区·科技园区,北京众达精电,通信/网络设备,本科,经验不限,9-14K·14薪,linux|嵌入式|ARM,嵌入式
北京·朝阳区·大屯,北京致敬未知科技,智能硬件,本科,3-5年,20-40K·13薪,STM32开发|ARM开发|嵌入式/单片机开发经验,嵌入式
厦门·思明区·瑞景,厦门久其,电子/半导体/集成电路,本科,3-5年,8-13K,嵌入式技术|单片机开发|嵌入式软件开发,嵌入式
北京·丰台区·科技园区,北京新水源景,其他行业,本科,3-5年,8-13K,嵌入式|单片机|ARM,嵌入式
深圳·宝安区·桃源居,普纳瑞,电子/半导体/集成电路,本科,3-5年,8-12K,嵌入式|ARM|单片机,嵌入式
杭州·上城区·四季青,VisionVera,通信/网络设备,本科,1-3年,11-12K,网络协议|音视频编解码|嵌入式技术|Linux|C语言,嵌入式
深圳·宝安区·西乡,维迪特,智能硬件,本科,1-3年,8-13K,ARM|手机|智能硬件,嵌入式
西安·雁塔区·紫薇田园都市,艾夫西埃电子,电力/热力/燃气/水利,本科,10年以上,7-8K,单片机开发|无线开发|嵌入式技术,嵌入式
南宁·西乡塘区·北湖,众凯网络,计算机软件,本科,1-3年,7-9K,嵌入式技术|自动化技术|网络协议|电路设计|软件工程师|硬件工程师|ARM开发,嵌入式
贵阳·花溪区,固创云,仪器仪表/工业自动化,本科,3-5年,10-15K,ARM|单片机|电路设计,嵌入式
贵阳·观山湖区·长岭南路,聚控云,通信/网络设备,本科,1-3年,3-5K,C++|嵌入式技术|自动化技术|单片机开发|嵌入式软件开发|电路设计|PCB设计|嵌入式硬件开发,嵌入式
