位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
长沙·岳麓区·麓谷,柯提网络,电子商务,大专,经验不限,6-11K,自有电商平台|Shopify|B2C|数据分析能力|小语种|德语|西班牙语|法语|不接受居家办公|接受无跨境电商运营经验,facebook广告投放专员
长沙·开福区·四方坪,长沙敏行,进出口贸易,大专,1-3年,6-10K,外贸跟单|贸易/物流专业|英语可用于工作|小语种|西班牙语|家居用品,外贸业务助理
长沙·雨花区·圭塘,佰泰,进出口贸易,大专,1-3年,4-9K,建筑材料|英语可用于工作|掌握小语种|有外贸工作经验|年终奖|每周双休|西班牙语,外贸业务专员
长沙·岳麓区·麓谷,赛尔斯,电子商务,本科,经验不限,3-8K,西班牙语|亚马逊|不接受居家办公|速卖通|小语种|平台商家运营|要求跨境电商运营经验|跨境店铺运营|B2C|电商店铺运营|德语|英语可作为工作语言|Amazon|数据分析能力,亚马逊运营助理
长沙·芙蓉区·火车站,亿千树,电子商务,本科,经验不限,4-9K·13薪,平台品类运营|电商店铺运营|B2C|数据分析能力|英语可作为工作语言|小语种|居家日用|运动户外|德语|西班牙语|法语,亚马逊运营招应届毕业生
长沙·雨花区·圭塘,智达新材料,石油/石化,大专,1-3年,10-15K,西班牙语|年终奖|篮球地板|招聘有结果的外贸人员，有阿里外贸经验优先|掌握小语种|有外贸工作经验|每周双休|建筑材料|英语可用于工作|足球场人造草,外贸专员
长沙·岳麓区·麓谷,长沙北客家居科技...,电子商务,大专,经验不限,5-10K,电商店铺运营|平台品类运营|平台整体运营|英语可作为工作语言|小语种|不接受居家办公|西班牙语|日语,亚马逊运营
长沙·芙蓉区·火车站,长沙积逊,电子商务,本科,1-3年,5-6K·13薪,B2C跨境电商|日语|亚马逊运营|英语|法语|西班牙语|意大利语|德语,跨境电商运营（英、日、法、西、德）
长沙·岳麓区·麓谷,海纳科技,电子商务,本科,1-3年,12-20K,英语可用于工作|掌握小语种|西班牙语|德语|俄语|包住宿|国外进修|年终奖|学材料、电器专业优先|海外市场|机械设计制造及自动化,外贸业务员+社保包吃住+月入2W+
长沙,新亚胜光电,进出口贸易,大专,1-3年,10-15K·13薪,有外贸工作经验|英语可用于工作|有团队管理经验|包住宿|年终奖|西班牙语,外贸经理
