位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
深圳·福田区·石厦,睿鑫通科技有限公司,计算机软件,本科,1-3年,8-12K·13薪,C#|C#开发经验|ADO.NET|MySQL|.NET开发经验|计算机相关专业,C# 软件开发工程师
上海·闵行区·颛桥,朴维自控,仪器仪表/工业自动化,本科,经验不限,7-10K·13薪,C#|C#开发经验|.NET开发经验,C# winform 初级软件工程师
苏州,华为,计算机软件,本科,经验不限,15-30K·14薪,C#|计算机相关专业|中大型项目开发经验,C# 开发工程师（苏州） OD岗位
扬州·邗江区·城北,诚品电气,自动化设备,本科,3-5年,8-12K·13薪,C#|MySQL|SQL Server|计算机相关专业|C#开发经验|.NET开发经验,C# 工业软件开发工程师
成都·双流区·华阳,图灵威视,计算机软件,本科,3-5年,7-12K·13薪,C#|上位机,C# winform上位机开发工程师
上海·浦东新区·金桥,戎马信息,企业服务,大专,3-5年,10-15K·13薪,ASP.NET|网络协议|delphi开发,C# 高级软件开发工程师
东莞·高埗镇·高埗广场,捷富亿,自动化设备,本科,3-5年,20-40K,C++|WPF|C#|上位机,C# 软件工程师 运动控制
武汉·洪山区·关山,高德信息产业,计算机软件,本科,3-5年,14-22K·13薪,C#|C#开发经验|C#，WPF，MVVM，Prism|计算机相关专业|系统架构设计经验,C# 高级开发工程师 （WPF 方向）
苏州,苏州华为,汽车零部件,本科,经验不限,15-30K·14薪,C#|ASP.NET|SQL Server|C#开发经验|.NET开发经验|中大型项目开发经验,C# 开发工程师（苏州） OD岗位
台州,华川电气,计算机软件,学历不限,经验不限,5-10K,C#|C++|计算机软件|软件工程师|计算机相关专业|VB|Python,C# C++  上位机编程 计算机软件 视觉算法
青岛·市北区·CBD,青岛恒贝尔电商,电子商务,大专,3-5年,10-11K,后端开发|.NET,c#.net
北京·海淀区·马连洼,北京威迈斯,计算机软件,本科,1-3年,6-9K,C#|C++|C#开发经验|JavaScript|ASP.NET|.NET|软件工程师|计算机相关专业|SQL Server|Windows|后端开发|SQL,"C#,.NET"
潍坊·奎文区·高新区,华云网络,互联网,大专,5-10年,9-14K·13薪,C#|Python|.NET开发经验|C#开发经验|不限|编程经验丰富|开发经理|开发项目经理,C#、.NET、python
深圳·南山区·西丽,赛尔姆,计算机软件,大专,1-3年,6-10K,.NET|C#|Javascript,".Net,C#,ASP.net工程师"
北京·东城区·东四,贝格麦斯,互联网,本科,1-3年,10-15K,SQL|.NET|MVC开发|Winform|WPF|SQL Server|MySQL,c#.net程序员
成都·武侯区·新会展中心,九鼎聚唐科技,互联网,大专,1-3年,8-11K,C#|C#开发经验|ASP.NET|.NET开发经验|中大型项目开发经验|postgres,.net/c#工程师
济南,山东方天,计算机服务,本科,3-5年,11-17K,C#|C++|C#开发经验|.net|C#Winform,C#
西安·雁塔区,华众电子,智能硬件,本科,1-3年,5-10K,C#|.NET|Oracle|软件工程师|Visual Studio,C#
广州·黄埔区·大沙,灵可康,计算机软件,本科,1-3年,6-9K,.NET|信息化|互联网医疗|Winform|SQL Server|软件工程师|图形图像处理|SQL,C#
北京·海淀区·五道口,九思易,计算机软件,本科,1年以内,10-15K,后端开发|.NET|C#,C#
深圳·福田区·香蜜湖,把脉云科技,互联网,大专,3-5年,8-15K,.NET|基础扎实|C#,C#
珠海·香洲区·湾仔,唯创科技,计算机软件,本科,1-3年,5-8K·13薪,C#|SQL|JavaScript|CSS|.NET|MVC开发|Web端,C#
石家庄·裕华区·建华,在左在右,计算机软件,大专,3-5年,6-11K,C#|生产线改造|工业自动化|C#开发经验|MySQL|SQL Server|立体仓库,C#
西安·未央区·未央路沿线,凌志航遥,计算机软件,大专,1-3年,6-11K,C#|MySQL|SQL Server|C#开发经验|.NET开发经验|Socket技术|SQL|网络协议,C#
上海·黄浦区·董家渡,傲本,咨询,大专,经验不限,5-10K,.NET|C#,C#
兰州·城关区·雁滩,兰州医信软件技术,计算机软件,本科,3-5年,6-10K,C#,C#
西安·雁塔区·电子城,西安飞思信息科技,仪器仪表/工业自动化,本科,3-5年,13-18K,C#|ASP.NET|SQL Server|计算机相关专业|C#开发经验|.NET开发经验,C#
广州,广州赛力迪,计算机服务,本科,5-10年,11-22K,C#|ASP.NET|计算机相关专业|C#开发经验|.NET开发经验,C#
潍坊,华铭自控,电气机械/器材,大专,3-5年,6-10K·13薪,C#|ASP.NET|C#开发经验,C#
东莞·长安镇·长安镇区,康为科技,医疗器械,大专,1-3年,10-15K,.NET|网络协议|Winform|WPF|SQL Server|MySQL|架构师,C#
长沙·长沙县·星沙一桥,长沙荣硕,计算机软件,大专,1-3年,10-11K,C#|ASP.NET|ADO.NET|.NET开发经验,C#
南通·崇川区·五一路,南通迅飞信息科技...,计算机软件,大专,1-3年,3-8K,C#|数据库|JS,C#
沈阳,隆创科技,智能硬件,大专,3-5年,4-8K,系统集成|上位机|C#,C#
宁德·古田县·城东,优易科科技,互联网,大专,3-5年,7-8K,C#|计算机相关专业|C#开发经验|.NET开发经验,C#
南昌·南昌县·瑶湖风景区,云沛科技,智能硬件,大专,1-3年,7-9K,C#|Java|SQL Server|计算机相关专业|C#开发经验|.NET开发经验,C#
北京·海淀区·北太平庄,京邮通联科技,通信/网络设备,本科,经验不限,10-20K,后端开发|C#|前端开发,C#
西安·莲湖区·西关,普适,计算机软件,3个月,5天/周,100-150元/天,C#|Java,C#
深圳·福田区·八卦岭,云创天成,计算机软件,本科,1-3年,8-13K,Javascript|后端开发|数据库,C#
重庆·九龙坡区·九滨路,平戎科技,互联网,本科,1-3年,6-8K,SQL|Winform|WPF|DevExpress|前端开发|软件工程师,C#
镇江·丹阳市·开发区,AGENE优因软件,计算机软件,本科,1年以内,4-5K,C#|需求分析|数据库,C#
北京·大兴区·亦庄,优壮智谷,计算机软件,大专,1-3年,4-7K,.NET|Javascript|C#,C#
天津·河西区·尖山,联海航运,物流/仓储,本科,1-3年,15-17K,C#,C#
杭州·西湖区·西溪,国腾工程顾问,建筑设计,3个月,4天/周,170-220元/天,,C#
唐山·路北区·火炬路,唐山宝盈,计算机软件,大专,经验不限,4-5K,,C#
沈阳·皇姑区·三台子,沈阳易成嘉拓智能科技,计算机软件,学历不限,经验不限,1-3K,C#|C#开发经验|ASP.NET|.NET开发经验|SQL Server,C#
上海·嘉定区·嘉定镇,诺觉,智能硬件,本科,5-10年,20-25K·13薪,C#|数据库开发|SQL|后端开发|MVC开发|Web端,C#
