位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
贵阳·观山湖区·长岭南路,创尔特,计算机软件,本科,1-3年,5-8K,前端开发,VUE前端工程师
沈阳·沈河区·北站,风合投资,投资/融资,本科,3-5年,6-8K,JavaScript|CSS|Vue,vue前端工程师
北京·东城区·东单,北京东方信通科技...,计算机服务,本科,3-5年,9-13K,前端开发|Vue|Bootstrap|Webpack|JavaScript|CSS|HTML,前端工程师(VUE)
深圳·南山区·科技园,同创亿商,在线教育,本科,1-3年,10-15K,前端开发|WEB开发|Vue|小程序|移动端|Web端|HTML5|CSS3,vue前端工程师
杭州,铭师智生,互联网,本科,5-10年,30-40K,Vue|前端开发经验,vue前端工程师
绍兴·柯桥区·柯桥万达广场,微海网络,移动互联网,本科,1-3年,7-12K·13薪,JavaScript|HTML5|Vue|计算机/软件工程相关专业|前端开发经验,vue前端工程师
张家口·桥东区·北方学院,象新科技,互联网,本科,3-5年,6-7K,HTML5|CSS|Java,vue前端工程师
杭州·西湖区·转塘,艺高,在线教育,大专,1-3年,9-14K,前端开发|HTML|CSS|CSS3|HTML5|Vue|小程序|GIT,vue前端工程师
北京·朝阳区·望京,星辰科技,智能硬件,本科,3-5年,10-15K·13薪,小程序|架构师|前端开发|Node.js|JavaScript|HTML|CSS,前端工程师vue
镇江,马上游,互联网,大专,3-5年,10-15K,前端开发|CSS|JavaScript|Vue|移动端|小程序,前端工程师(Vue方向)
西安·雁塔区·绿地世纪城,卫宁健康,医疗健康,本科,3-5年,7-12K,前端开发|JavaScript|CSS|HTML|ES6,中级前端vue工程师
杭州·余杭区·未来科技城,星河能源,新能源,大专,经验不限,2-5K,前端开发|WEB开发|JavaScript|CSS|HTML|Vue|Web端|全栈开发,vue前端开发实习
深圳·南山区·科技园,墅泽智家,智能硬件,本科,5-10年,30-45K·15薪,JavaScript|Vue|Node.js,VUE前端架构师
深圳·龙岗区·龙岗中心城,必选优品,电子商务,学历不限,5-10年,10-15K·13薪,前端开发|GIT,Vue前端开发⼯程师
焦作,知恒软件,计算机软件,大专,经验不限,3-4K,前端开发,VUE前端开发工程师
武汉·洪山区·虎泉,雨后科技有限责任,计算机服务,本科,经验不限,8-13K·14薪,CSS|Vue|HTML5|计算机/软件工程相关专业|前端开发经验,vue前端开发工程师
泉州·石狮市·步行街,福建云极致新软件科技,企业服务,大专,3-5年,6-8K,Vue|前端开发经验|不接受居家办公,vue前端开发工程师
成都·双流区·华阳,向己科技,大数据,本科,1-3年,6-7K,CSS|Vue|前端开发|CSS|移动端|小程序|网络协议,Vue前端开发工程师
北京·海淀区·中关村,云客站,互联网,学历不限,1-3年,10-11K,技术博客/开源项目有所贡献|CSS|HTML5|Vue|计算机/软件工程相关专业|前端开发经验,vue前端工程师（兼职）
北京·昌平区·回龙观,图言比特,计算机软件,本科,3-5年,8-12K,Vue,vue前端开发工程师
北京·海淀区·魏公村,华职教育科技集团,培训/辅导机构,本科,3-5年,14-16K,SQL|前端开发|MySQL|Web端|Vue,vue开发工程师/前端工程师
东莞·大朗镇·松佛路,家和供应链,食品/饮料/烟酒,大专,3-5年,7-12K,不接受居家办公|JavaScript|Vue|Node.js|前端开发经验,前端vue开发工程师
中山,雁鸣智造,互联网,本科,1-3年,7-8K,Vue|计算机/软件工程相关专业|前端开发经验|架构师经验|不接受居家办公,前端开发工程师(vue)
贵阳·观山湖区·贵阳北站,梯联网,社交网络与媒体,本科,3-5年,8-13K·13薪,前端开发|CSS|JavaScript|Vue|Web端|移动端|小程序|ES6,vue前端开发工程师
成都·武侯区·中和,北京范睿智创科技,互联网,学历不限,经验不限,10-15K,Vue|JavaScript|前端开发经验|不接受居家办公,前端vue开发工程师
曲靖·麒麟区·烟厂,蜂信物联,计算机软件,大专,1-3年,5-8K,技术博客/开源项目有所贡献|ECharts|HTML5|Vue|前端开发经验|计算机/软件工程相关专业,前端vue开发工程师
北京·海淀区·二里庄,中电太极集团,计算机软件,本科,3-5年,11-22K,JavaScript|HTML5|Vue|计算机/软件工程相关专业|前端开发经验|架构师经验|webpack,vue前端开发工程师
南昌·红谷滩区·名门世家,房图科技,房地产开发经营,大专,1-3年,7-12K,前端开发|JavaScript|移动端|JQuery|Vue,VUE前端开发工程师
深圳·南山区·西丽,SHEIN,电子商务,本科,3-5年,18-30K·14薪,React|Vue|Node.js|计算机/软件工程相关专业|前端开发经验|技术博客/开源项目有所贡献|架构师经验,前端开发工程师（Vue）
武汉·汉阳区·王家湾,修凡科技,计算机服务,本科,5-10年,9-14K·13薪,HTML|JavaScript|CSS,Vue前端开发工程师
信阳·平桥区·信阳东站,欣起物联,互联网,大专,3-5年,5-8K,前端开发|JavaScript|TypeScript|ES6|Less|Vue|React,vue前端开发工程师
成都·武侯区·五大花园,四川航硕达科技,互联网,本科,5-10年,5-9K,Vue|Webpack|Node.js|计算机/软件工程相关专业|前端开发经验|vue|前端开发|前端兼职,vue前端开发工程师
